LandisData	"Ecoregions"		

>> 	Map Code		
>>Active	Name	Description
>>--------------------------------------------------------			
yes	607	CLIM0607	1
yes	608	CLIM0608	2
yes	609	CLIM0609	3
yes	610	CLIM0610	1
yes	611	CLIM0611	2
yes	612	CLIM0612	3
yes	613	CLIM0613	1
yes	614	CLIM0614	2
yes	615	CLIM0615	3
yes	616	CLIM0616	1
yes	617	CLIM0617	2
yes	618	CLIM0618	3
yes	619	CLIM0619	1
yes	620	CLIM0620	2
yes	621	CLIM0621	3
yes	622	CLIM0622	1
yes	623	CLIM0623	2
yes	624	CLIM0624	3
yes	625	CLIM0625	1
yes	626	CLIM0626	2
yes	627	CLIM0627	3
yes	628	CLIM0628	1
yes	629	CLIM0629	2
yes	630	CLIM0630	3
yes	631	CLIM0631	1
yes	632	CLIM0632	2
yes	633	CLIM0633	3
yes	634	CLIM0634	1
yes	635	CLIM0635	2
yes	636	CLIM0636	3
yes	637	CLIM0637	1
yes	638	CLIM0638	2
yes	639	CLIM0639	3
yes	640	CLIM0640	1
yes	641	CLIM0641	2
yes	642	CLIM0642	3
yes	643	CLIM0643	1
yes	644	CLIM0644	2
yes	645	CLIM0645	3
yes	646	CLIM0646	1
yes	647	CLIM0647	2
yes	648	CLIM0648	3
yes	649	CLIM0649	1
yes	650	CLIM0650	2
yes	651	CLIM0651	3
yes	652	CLIM0652	1
yes	653	CLIM0653	2
yes	654	CLIM0654	3
yes	655	CLIM0655	1
yes	656	CLIM0656	2
yes	657	CLIM0657	3
yes	658	CLIM0658	1
yes	659	CLIM0659	2
yes	660	CLIM0660	3
yes	661	CLIM0661	1
yes	662	CLIM0662	2
yes	663	CLIM0663	3
yes	664	CLIM0664	1
yes	665	CLIM0665	2
yes	666	CLIM0666	3
yes	667	CLIM0667	1
yes	668	CLIM0668	2
yes	669	CLIM0669	3
yes	670	CLIM0670	1
yes	671	CLIM0671	2
yes	672	CLIM0672	3
yes	673	CLIM0673	1
yes	674	CLIM0674	2
yes	675	CLIM0675	3
yes	676	CLIM0676	1
yes	677	CLIM0677	2
yes	678	CLIM0678	3
yes	679	CLIM0679	1
yes	680	CLIM0680	2
yes	681	CLIM0681	3
yes	682	CLIM0682	1
yes	683	CLIM0683	2
yes	684	CLIM0684	3
yes	685	CLIM0685	1
yes	686	CLIM0686	2
yes	687	CLIM0687	3
yes	688	CLIM0688	1
yes	689	CLIM0689	2
yes	690	CLIM0690	3
yes	691	CLIM0691	1
yes	692	CLIM0692	2
yes	693	CLIM0693	3
yes	694	CLIM0694	1
yes	695	CLIM0695	2
yes	696	CLIM0696	3
yes	697	CLIM0697	1
yes	698	CLIM0698	2
yes	699	CLIM0699	3
yes	700	CLIM0700	1
yes	701	CLIM0701	2
yes	702	CLIM0702	3
yes	703	CLIM0703	1
yes	704	CLIM0704	2
yes	705	CLIM0705	3
yes	706	CLIM0706	1
yes	707	CLIM0707	2
yes	708	CLIM0708	3
yes	709	CLIM0709	1
yes	710	CLIM0710	2
yes	711	CLIM0711	3
yes	712	CLIM0712	1
yes	713	CLIM0713	2
yes	714	CLIM0714	3
yes	715	CLIM0715	1
yes	716	CLIM0716	2
yes	717	CLIM0717	3
yes	718	CLIM0718	1
yes	719	CLIM0719	2
yes	720	CLIM0720	3
yes	721	CLIM0721	1
yes	722	CLIM0722	2
yes	723	CLIM0723	3
yes	724	CLIM0724	1
yes	725	CLIM0725	2
yes	726	CLIM0726	3
yes	727	CLIM0727	1
yes	728	CLIM0728	2
yes	729	CLIM0729	3
yes	730	CLIM0730	1
yes	731	CLIM0731	2
yes	732	CLIM0732	3
yes	733	CLIM0733	1
yes	734	CLIM0734	2
yes	735	CLIM0735	3
yes	736	CLIM0736	1
yes	737	CLIM0737	2
yes	738	CLIM0738	3
yes	739	CLIM0739	1
yes	740	CLIM0740	2
yes	741	CLIM0741	3
yes	742	CLIM0742	1
yes	743	CLIM0743	2
yes	744	CLIM0744	3
yes	745	CLIM0745	1
yes	746	CLIM0746	2
yes	747	CLIM0747	3
yes	748	CLIM0748	1
yes	749	CLIM0749	2
yes	750	CLIM0750	3
yes	751	CLIM0751	1
yes	752	CLIM0752	2
yes	753	CLIM0753	3
yes	754	CLIM0754	1
yes	755	CLIM0755	2
yes	756	CLIM0756	3
yes	757	CLIM0757	1
yes	758	CLIM0758	2
yes	759	CLIM0759	3
yes	760	CLIM0760	1
yes	761	CLIM0761	2
yes	762	CLIM0762	3
yes	763	CLIM0763	1
yes	764	CLIM0764	2
yes	765	CLIM0765	3
yes	766	CLIM0766	1
yes	767	CLIM0767	2
yes	768	CLIM0768	3
yes	769	CLIM0769	1
yes	770	CLIM0770	2
yes	771	CLIM0771	3
yes	772	CLIM0772	1
yes	773	CLIM0773	2
yes	774	CLIM0774	3
yes	775	CLIM0775	1
yes	776	CLIM0776	2
yes	777	CLIM0777	3
yes	778	CLIM0778	1
yes	779	CLIM0779	2
yes	780	CLIM0780	3
yes	781	CLIM0781	1
yes	782	CLIM0782	2
yes	783	CLIM0783	3
yes	784	CLIM0784	1
yes	785	CLIM0785	2
yes	786	CLIM0786	3
yes	787	CLIM0787	1
yes	788	CLIM0788	2
yes	789	CLIM0789	3
yes	790	CLIM0790	1
yes	791	CLIM0791	2
yes	792	CLIM0792	3
yes	793	CLIM0793	1
yes	794	CLIM0794	2
yes	795	CLIM0795	3
yes	796	CLIM0796	1
yes	797	CLIM0797	2
yes	798	CLIM0798	3
yes	799	CLIM0799	1
yes	800	CLIM0800	2
yes	801	CLIM0801	3
yes	802	CLIM0802	1
yes	803	CLIM0803	2
yes	804	CLIM0804	3
yes	805	CLIM0805	1
yes	806	CLIM0806	2
yes	807	CLIM0807	3
yes	808	CLIM0808	1
yes	809	CLIM0809	2
yes	810	CLIM0810	3
yes	811	CLIM0811	1
yes	812	CLIM0812	2
yes	813	CLIM0813	3
yes	814	CLIM0814	1
yes	815	CLIM0815	2
yes	816	CLIM0816	3
yes	817	CLIM0817	1
yes	818	CLIM0818	2
yes	819	CLIM0819	3
yes	820	CLIM0820	1
yes	821	CLIM0821	2
yes	822	CLIM0822	3
yes	823	CLIM0823	1
yes	824	CLIM0824	2
yes	825	CLIM0825	3
yes	826	CLIM0826	1
yes	827	CLIM0827	2
yes	828	CLIM0828	3
yes	829	CLIM0829	1
yes	830	CLIM0830	2
yes	831	CLIM0831	3
yes	832	CLIM0832	1
yes	833	CLIM0833	2
yes	834	CLIM0834	3
yes	835	CLIM0835	1
yes	836	CLIM0836	2
yes	837	CLIM0837	3
yes	838	CLIM0838	1
yes	839	CLIM0839	2
yes	840	CLIM0840	3
yes	841	CLIM0841	1
yes	842	CLIM0842	2
yes	843	CLIM0843	3
yes	844	CLIM0844	1
yes	845	CLIM0845	2
yes	846	CLIM0846	3
yes	847	CLIM0847	1
yes	848	CLIM0848	2
yes	849	CLIM0849	3
yes	850	CLIM0850	1
yes	851	CLIM0851	2
yes	852	CLIM0852	3
yes	853	CLIM0853	1
yes	854	CLIM0854	2
yes	855	CLIM0855	3
yes	856	CLIM0856	1
yes	857	CLIM0857	2
yes	858	CLIM0858	3
yes	859	CLIM0859	1
yes	860	CLIM0860	2
yes	861	CLIM0861	3
yes	862	CLIM0862	1
yes	863	CLIM0863	2
yes	864	CLIM0864	3
yes	865	CLIM0865	1
yes	866	CLIM0866	2
yes	867	CLIM0867	3
yes	868	CLIM0868	1
yes	869	CLIM0869	2
yes	870	CLIM0870	3
yes	871	CLIM0871	1
yes	872	CLIM0872	2
yes	873	CLIM0873	3
yes	874	CLIM0874	1
yes	875	CLIM0875	2
yes	876	CLIM0876	3
yes	877	CLIM0877	1
yes	878	CLIM0878	2
yes	879	CLIM0879	3
yes	880	CLIM0880	1
yes	881	CLIM0881	2
yes	882	CLIM0882	3
yes	883	CLIM0883	1
yes	884	CLIM0884	2
yes	885	CLIM0885	3
yes	886	CLIM0886	1
