,SpeciesName,MapCode,CohortAge,CohortBiomass,Trees_a1,Trees_a2,Trees_a3,DBH_a1,DBH_a2,DBH_a3,Height_a1,Height_a2,Height_a3,Spatial_a1,Spatial_a2,Spatial_a3,Crown_a1,Crown_a2,Crown_a3,number_trees,height,crown_width,spatial_contagion,Age_class
58,RedMaple,1051169,130,890,138.46,-0.09,0.0307,0,0,0,30.7,0.44,0.004,0,0.0016,0.0762,12.53,0.092,0.0015,154,115,26,0.208,3
65,RedOak,1050066,21,536,81.95,0.297,0.0027,0,0,0,42.5,0.21,0.003,0,0.0003,0.1963,15.78,0.0657,0.002,90,48,18,0.0063,1
64,RedOak,1050064,100,6552,81.95,0.297,0.0027,0,0,0,42.5,0.21,0.003,0,0.0003,0.1963,15.78,0.0657,0.002,129,81,35,0.03,2
66,RedOak,1051168,100,5834,81.95,0.297,0.0027,0,0,0,42.5,0.21,0.003,0,0.0003,0.1963,15.78,0.0657,0.002,127,79,34,0.03,2
68,RedOak,1050065,100,5986,81.95,0.297,0.0027,0,0,0,42.5,0.21,0.003,0,0.0003,0.1963,15.78,0.0657,0.002,128,80,34,0.03,2
69,RedOak,1051167,100,6628,81.95,0.297,0.0027,0,0,0,42.5,0.21,0.003,0,0.0003,0.1963,15.78,0.0657,0.002,130,81,36,0.03,2
63,RedOak,1051168,110,8525,81.95,0.297,0.0027,0,0,0,42.5,0.21,0.003,0,0.0003,0.1963,15.78,0.0657,0.002,138,89,40,0.033,2
70,RedOak,1050065,110,8658,81.95,0.297,0.0027,0,0,0,42.5,0.21,0.003,0,0.0003,0.1963,15.78,0.0657,0.002,138,89,40,0.033,2
71,RedOak,1051167,110,10200,81.95,0.297,0.0027,0,0,0,42.5,0.21,0.003,0,0.0003,0.1963,15.78,0.0657,0.002,142,93,43,0.033,2
73,RedOak,1050064,110,10054,81.95,0.297,0.0027,0,0,0,42.5,0.21,0.003,0,0.0003,0.1963,15.78,0.0657,0.002,142,93,43,0.033,2
67,RedOak,1051167,120,8595,81.95,0.297,0.0027,0,0,0,42.5,0.21,0.003,0,0.0003,0.1963,15.78,0.0657,0.002,141,91,41,0.036,2
72,RedOak,1050064,120,8492,81.95,0.297,0.0027,0,0,0,42.5,0.21,0.003,0,0.0003,0.1963,15.78,0.0657,0.002,141,91,41,0.036,2
74,RedOak,1051168,120,6642,81.95,0.297,0.0027,0,0,0,42.5,0.21,0.003,0,0.0003,0.1963,15.78,0.0657,0.002,136,86,37,0.036,2
75,RedOak,1050065,120,6785,81.95,0.297,0.0027,0,0,0,42.5,0.21,0.003,0,0.0003,0.1963,15.78,0.0657,0.002,136,86,37,0.036,2
76,RedPine,1048971,90,2350,362.4,-2.52,0.046,0,0,0,24.3,0.5,0.001,0,0.0003,0.1963,9.38,0.083,0.0003,244,177,18,0.027,2
96,SugarMaple,1050066,1,10,196,0.113,0.024,0,0,0,35,0.41,0.002,0,0.0016,0.0762,13.57,0.087,0.00093,196,36,14,0.0016,1
85,SugarMaple,1048969,11,62,196,0.113,0.024,0,0,0,35,0.41,0.002,0,0.0016,0.0762,13.57,0.087,0.00093,199,41,15,0.0176,1
90,SugarMaple,1048970,11,85,196,0.113,0.024,0,0,0,35,0.41,0.002,0,0.0016,0.0762,13.57,0.087,0.00093,199,42,15,0.0176,1
94,SugarMaple,1050064,11,54,196,0.113,0.024,0,0,0,35,0.41,0.002,0,0.0016,0.0762,13.57,0.087,0.00093,199,41,15,0.0176,1
84,SugarMaple,1048969,21,134,196,0.113,0.024,0,0,0,35,0.41,0.002,0,0.0016,0.0762,13.57,0.087,0.00093,202,47,16,0.0336,1
83,SugarMaple,1048969,31,241,196,0.113,0.024,0,0,0,35,0.41,0.002,0,0.0016,0.0762,13.57,0.087,0.00093,205,53,16,0.0496,1
93,SugarMaple,1048970,31,497,196,0.113,0.024,0,0,0,35,0.41,0.002,0,0.0016,0.0762,13.57,0.087,0.00093,211,60,17,0.0496,1
99,SugarMaple,1051168,31,502,196,0.113,0.024,0,0,0,35,0.41,0.002,0,0.0016,0.0762,13.57,0.087,0.00093,212,60,17,0.0496,1
82,SugarMaple,1048969,41,449,196,0.113,0.024,0,0,0,35,0.41,0.002,0,0.0016,0.0762,13.57,0.087,0.00093,211,63,18,0.0656,1
97,SugarMaple,1050064,41,396,196,0.113,0.024,0,0,0,35,0.41,0.002,0,0.0016,0.0762,13.57,0.087,0.00093,210,61,18,0.0656,1
77,SugarMaple,1048969,80,2190,196,0.113,0.024,0,0,0,35,0.41,0.002,0,0.0016,0.0762,13.57,0.087,0.00093,258,120,23,0.128,2
88,SugarMaple,1048970,80,3586,196,0.113,0.024,0,0,0,35,0.41,0.002,0,0.0016,0.0762,13.57,0.087,0.00093,291,154,24,0.128,2
78,SugarMaple,1048969,90,1875,196,0.113,0.024,0,0,0,35,0.41,0.002,0,0.0016,0.0762,13.57,0.087,0.00093,251,117,23,0.144,2
89,SugarMaple,1048970,90,3408,196,0.113,0.024,0,0,0,35,0.41,0.002,0,0.0016,0.0762,13.57,0.087,0.00093,288,154,25,0.144,2
